"ID","GEO2R_logFC","scripted_logFC","GEO2R_adjP","scripted_adjP"
"ILMN_1652549",0.35965082,0.359650815666667,8.32e-06,8.32012157086061e-06
"ILMN_1652550",0.0138208,0.0138207990000012,0.899,0.899421783384176
"ILMN_1652574",-0.0134223,-0.0134222983333334,0.886,0.886000556962768
"ILMN_1652577",0.02499,0.0249899956666662,0.707,0.706573830299631
"ILMN_1652578",0.0558656,0.0558655996666655,0.295,0.295319567640781
"ILMN_1652580",-0.72181581,-0.721815808999999,1.47e-09,1.46709748990922e-09
"ILMN_1652594",-0.15635465,-0.156354648333332,0.00998,0.00998360226211731
"ILMN_1652602",-0.40616059,-0.406160586666665,2.35e-06,2.3497485069311e-06
"ILMN_1652604",-0.03074026,-0.03074026,0.7,0.699687179602563
"ILMN_1652609",0.02055391,0.0205539126666672,0.762,0.762153469984073
"ILMN_1652611",0.03011496,0.0301149619999999,0.751,0.751471136916367
"ILMN_1652628",-0.00814771,-0.00814771466666464,0.928,0.928319681094374
"ILMN_1652631",-0.00876975,-0.00876974566666711,0.92,0.919679632041272
"ILMN_1652638",0.11035672,0.110356717333334,0.0342,0.0342303563059771
"ILMN_1652639",-0.06075253,-0.0607525249999989,0.305,0.305491756273761
"ILMN_1652646",0.04435855,0.0443585530000012,0.5,0.499846993682782
"ILMN_1652647",-0.02296145,-0.0229614536666665,0.781,0.780538740724445
