target,candidate,n_probes,baseline_log2_expression,log2_variance_all_six,log2_variance_within_group,qualifies,distance
PPP2R5A,CHCHD1,1,10.295868683333333,-5.169825757397583,-8.10920979050162,False,0.16409727456491432
PPP2R5A,SLC39A14,1,9.927467702,-8.117415206776975,-7.9845889506230225,False,0.16514698906399
PPP2R5A,TPMT,1,10.30291596,-1.92422827764492,-8.258351700582914,True,0.1669710247858643
PPP2R5A,MED19,1,9.954800192,-8.468056826523691,-8.401039725639277,False,0.16702420519109776
PPP2R5A,RHOT2,1,10.002434413333335,-5.475837827460369,-8.415506695934976,True,0.16971581189337304
PPP2R5A,SUN1,1,9.884517601666667,-2.84145511895764,-7.9938221716751965,True,0.17321264939115208
PPP2R5A,CALM1,1,10.131006486666665,-2.995643600778535,-8.412869069144097,False,0.173414204830721
PPP2R5A,TWIST1,1,9.771077351666667,-1.309473219258334,-8.238486642515294,True,0.17556483492448363
PPP2R5A,OSTF1,1,10.32381387,-2.7587249582834654,-8.259266455670852,True,0.17951667507299437
PPP2R5A,GTF2H3,1,10.14200485,-7.3378663981373125,-7.953939299071642,False,0.17968734222848295
PPP2R5A,NSUN4,1,10.336896306666667,-8.390690000827497,-8.199789340701459,False,0.17981798288673248
PPP2R5A,CSRNP1,1,10.172640866666667,-2.870182908282623,-7.962360511904356,False,0.18117995841198795
PPP2R5A,KIDINS220,1,10.19207624,-3.1390913897911576,-7.970361753951867,True,0.181561171687958
PPP2R5A,HSPA5,1,9.900717821,-2.562899204605101,-7.967535293078431,True,0.18397519497209266
PPP2R5A,TACC3,1,10.343529303333334,-6.298306591261617,-8.208259115008625,False,0.18435912035630744
PPP2R5A,QSOX2,1,9.749394075333333,-4.267597818626797,-8.165965841818648,False,0.18543794355875895
PPP2R5A,EAF1,1,10.14286233,-8.362406638588277,-8.428669118267441,False,0.18666318357375308
PPP2R5A,PRKCH,1,9.817000170333332,0.5589219559335905,-8.353732996437794,True,0.1880759118875034
PPP2R5A,ZNF689,1,10.007244772,-6.935798989994116,-8.443334210949981,False,0.1893855793735896
PPP2R5A,PAFAH1B1,1,10.017412765666666,-5.793794550679368,-7.925697692391685,False,0.19137930787329271
PPP2R5A,CHD9,1,9.777402439333333,-7.884591749336036,-8.320305154931898,False,0.1939559006235738
PPP2R5A,CUTC,1,9.982980177333333,-3.028405106836179,-8.446172769219348,False,0.193974736631848
PPP2R5A,LACTB2,1,10.34926954,-3.8402527302613,-8.265174054108211,True,0.19587568550578097
PPP2R5A,CDC5L,1,10.20224444,-3.814756283706897,-8.421433826789931,False,0.19676642747384052
PPP2R5A,RNF123,1,10.133071020000001,-6.611778828630472,-8.45804010231841,False,0.20547359898049766
PPP2R5A,ATP6V0D1,1,10.21040618,-5.638447182725332,-7.937672655822207,True,0.20795237822737533
PPP2R5A,ITPR1,1,9.980481804666667,-1.5119866250080984,-8.466128517764007,True,0.20856727331020627
PPP2R5A,PIGM,1,9.883558553999999,-7.426538862571022,-7.936799939583638,False,0.20876525965836337
PPP2R5A,C16orf72,1,9.725942888666667,-2.5552978724350943,-8.275769607053816,True,0.20980551531611116
PPP2R5A,ABHD5,1,9.812170515333333,-1.1469845360499074,-8.393972505937715,False,0.21045670271928152
PPP2R5A,PAF1,1,9.967098528666666,-7.207349630333725,-8.471357325694711,True,0.2140903394949693
PPP2R5A,GAPVD1,1,10.392370023333333,-3.739829591963247,-8.16626258573192,False,0.21446230944577974
PPP2R5A,FANCG,1,9.814712369333334,-3.1893236820046327,-8.406596705295104,False,0.2161425722549044
PPP2R5A,ACAA1,1,9.734222173666668,-8.254459951459513,-8.055994863501146,False,0.21635242296438092
PPP2R5A,TUFT1,1,9.745410104333333,-7.561845221787229,-8.336142247376872,False,0.21692609368771643
PPP2R5A,SLC29A2,1,10.192003093333334,-3.857000303903755,-8.45990212969823,True,0.2190467270757389
PPP2R5A,RSRC1,1,9.692517623333332,-3.637208712175454,-8.179281591402727,True,0.22017455533132124
PPP2R5A,TNPO2,1,10.402871096666667,-1.4678032114712312,-8.198043633228895,False,0.22063527757414253
PPP2R5A,EMG1,1,10.211009976666668,-0.5354809386360632,-8.456433484577573,False,0.2218747373535224
PPP2R5A,GBAS,1,10.192353666666666,-7.494112733434366,-8.465250010474048,False,0.2227050968408336
PPP2R5A,SETD2,1,10.227839026666667,-7.171578243547588,-7.922672023066261,False,0.22282488586997093
